,^GSPC,VIXCLS,CPIAUCSL,M2SL,FEDFUNDS,T10Y2Y,AAA,UNRATE,PCUOMFGOMFG,USPHCI,IQ,S&P_pct
2005-09-01,1221.5899658203125,13.15,198.8,6604.3,3.62,0.3,5.13,5.0,154.2,95.12,107.5,0.0
2005-10-03,1226.699951171875,12.46,199.1,6638.6,3.78,0.18,5.35,5.0,156.6,95.33,108.3,1.0
2005-11-01,1202.760009765625,14.85,198.1,6655.0,4.0,0.16,5.42,5.0,152.7,95.61,107.6,0.0
2005-12-01,1264.6700439453125,11.24,198.1,6681.9,4.16,0.07,5.37,4.9,152.8,95.88,107.7,1.0
2006-01-02,1248.2900390625,12.07,198.1,6681.9,4.16,-0.02,5.37,4.9,152.8,95.88,107.7,0.0
2006-02-01,1282.4599609375,12.36,199.4,6748.6,4.49,-0.02,5.35,4.8,153.5,96.44,108.6,1.0
2006-03-01,1291.239990234375,11.54,199.7,6762.9,4.59,-0.12,5.53,4.7,155.0,96.8,108.8,1.0
2006-04-03,1297.81005859375,11.57,200.7,6800.1,4.79,0.02,5.84,4.7,157.2,97.06,109.6,1.0
2006-05-01,1305.18994140625,12.54,201.3,6806.9,4.94,0.2,5.95,4.6,158.5,97.29,110.4,1.0
2006-06-01,1285.7099609375,14.52,201.8,6844.9,4.99,0.07,5.89,4.6,159.5,97.48,111.2,0.0
2006-07-03,1280.18994140625,13.05,202.9,6886.3,5.24,-0.02,5.85,4.7,159.4,97.67,111.6,0.0
2006-08-01,1270.9200439453125,15.05,203.8,6917.1,5.25,0.02,5.68,4.7,159.8,97.89,112.1,0.0
2006-09-01,1311.010009765625,11.96,202.8,6944.2,5.25,-0.04,5.51,4.5,156.8,98.17,111.7,1.0
2006-10-02,1331.3199462890625,12.57,201.9,6993.3,5.25,-0.04,5.51,4.4,155.9,98.33,111.4,1.0
2006-11-01,1367.81005859375,11.51,202.0,7028.4,5.25,-0.09,5.33,4.5,156.4,98.52,111.8,1.0
2006-12-01,1396.7099609375,11.66,203.1,7071.6,5.24,-0.09,5.32,4.4,156.9,98.78,112.5,1.0
2007-01-01,1418.300048828125,11.56,203.1,7071.6,5.24,-0.11,5.32,4.4,156.9,98.78,112.5,1.0
2007-02-01,1445.93994140625,10.31,204.226,7125.3,5.26,-0.12,5.39,4.5,157.7,99.22,113.9,1.0
2007-03-01,1403.1700439453125,15.82,205.288,7159.1,5.26,-0.07,5.3,4.4,160.1,99.52,114.7,0.0
2007-04-02,1424.550048828125,14.53,205.904,7231.3,5.25,0.05,5.47,4.5,162.2,99.67,115.2,1.0
2007-05-01,1486.300048828125,13.51,206.755,7245.4,5.25,0.01,5.47,4.4,163.8,99.93,115.5,1.0
2007-06-01,1536.3399658203125,12.78,207.234,7278.6,5.25,-0.02,5.79,4.6,163.7,99.99,116.0,1.0
2007-07-02,1519.4300537109375,15.4,207.603,7309.0,5.26,0.14,5.73,4.7,164.9,100.1,116.1,0.0
2007-08-01,1465.81005859375,23.67,207.667,7385.1,5.02,0.2,5.79,4.6,163.0,100.27,116.3,0.0
2007-09-03,1473.989990234375,23.38,207.667,7385.1,5.02,0.39,5.79,4.6,163.0,100.27,116.3,1.0
2007-10-01,1547.0400390625,17.84,209.19,7417.2,4.76,0.54,5.66,4.7,164.5,100.54,117.6,1.0
2007-11-01,1508.43994140625,23.21,210.834,7441.8,4.49,0.59,5.44,4.7,168.0,100.69,118.7,0.0
2007-12-03,1472.4200439453125,23.61,211.445,7471.6,4.24,0.99,5.49,5.0,166.9,100.74,119.3,0.0
2008-01-01,1468.3599853515625,22.5,211.445,7471.6,4.24,0.99,5.49,5.0,166.9,100.74,119.3,0.0
2008-02-01,1395.4200439453125,24.02,212.687,7590.6,2.98,1.53,5.53,4.9,169.6,101.02,121.8,0.0
2008-03-03,1331.3399658203125,26.28,213.448,7656.2,2.61,1.93,5.51,5.1,173.4,101.01,123.8,0.0
2008-04-01,1370.1800537109375,22.68,213.942,7699.2,2.28,1.77,5.55,5.0,175.3,101.09,124.4,1.0
2008-05-01,1409.3399658203125,18.88,215.208,7711.2,1.98,1.41,5.57,5.4,179.4,100.98,124.8,1.0
2008-06-02,1385.6700439453125,19.83,217.463,7728.9,2.0,1.47,5.68,5.6,182.0,100.9,126.1,0.0
2008-07-01,1284.9100341796875,23.65,219.016,7775.4,2.01,1.38,5.67,5.8,185.6,100.84,128.0,0.0
2008-08-01,1260.31005859375,22.57,218.69,7790.2,2.0,1.46,5.64,6.1,182.6,100.72,125.9,0.0
2008-09-01,1282.8299560546875,20.65,218.69,7790.2,2.0,1.47,5.64,6.1,182.6,100.72,125.9,1.0
2008-10-01,1161.06005859375,39.81,216.995,7965.3,0.97,1.95,6.28,6.5,176.8,100.29,122.3,0.0
2008-11-03,966.2999877929688,53.68,213.153,8015.8,0.39,2.51,6.12,6.8,169.4,99.96,118.4,0.0
2008-12-01,816.2100219726562,68.51,211.398,8192.1,0.16,1.82,5.05,7.3,164.1,99.58,115.8,0.0
2009-01-01,903.25,40.0,211.398,8192.1,0.16,1.49,5.05,7.3,164.1,99.58,115.8,1.0
2009-02-02,825.4400024414062,45.52,212.705,8303.1,0.22,1.87,5.27,8.3,163.9,98.68,116.3,0.0
2009-03-02,700.8200073242188,52.65,212.495,8369.3,0.18,2.02,5.5,8.7,162.9,98.15,115.5,0.0
2009-04-01,811.0800170898438,42.28,212.709,8372.9,0.15,1.85,5.39,9.0,164.2,97.69,116.1,1.0
2009-05-01,877.52001953125,35.3,213.022,8430.7,0.18,2.29,5.54,9.4,165.8,97.37,116.6,1.0
2009-06-01,942.8699951171875,30.04,214.79,8440.5,0.21,2.74,5.61,9.5,168.4,97.11,117.8,1.0
2009-07-01,923.3300170898438,26.22,214.726,8445.1,0.16,2.5,5.41,9.5,167.1,96.96,117.4,0.0
2009-08-03,1002.6300048828125,25.56,215.445,8445.0,0.16,2.48,5.26,9.6,169.4,96.84,118.1,1.0
2009-09-01,998.0399780273438,29.15,215.861,8444.2,0.15,2.46,5.13,9.8,168.6,96.67,117.9,0.0
2009-10-01,1029.8499755859375,28.27,216.509,8471.1,0.12,2.34,5.15,10.0,168.9,96.56,117.9,1.0
2009-11-02,1042.8800048828125,29.78,217.234,8500.8,0.12,2.53,5.19,9.9,170.7,96.65,118.9,1.0
2009-12-01,1108.8599853515625,21.92,217.347,8496.0,0.12,2.61,5.26,9.9,170.8,96.62,119.7,1.0
2010-01-01,1115.0999755859375,21.68,217.347,8496.0,0.12,2.71,5.26,9.9,170.8,96.62,119.7,1.0
2010-02-01,1089.18994140625,22.59,217.281,8507.4,0.13,2.82,5.35,9.8,172.2,96.78,120.3,0.0
2010-03-01,1115.7099609375,19.26,217.353,8504.5,0.16,2.81,5.27,9.9,173.9,96.9,121.2,1.0
2010-04-01,1178.0999755859375,17.47,217.403,8535.2,0.2,2.84,5.29,9.9,175.2,97.09,122.5,1.0
2010-05-03,1202.260009765625,20.19,217.29,8589.9,0.2,2.72,4.96,9.6,176.1,97.56,123.1,1.0
2010-06-01,1070.7099609375,35.54,217.199,8609.0,0.18,2.51,4.88,9.4,174.8,97.75,122.2,0.0
2010-07-01,1027.3699951171875,32.86,217.605,8618.8,0.18,2.33,4.72,9.4,174.7,97.87,122.0,0.0
2010-08-02,1125.8599853515625,22.01,217.923,8669.1,0.19,2.43,4.49,9.5,175.3,97.98,123.0,1.0
2010-09-01,1080.2900390625,23.89,218.275,8700.1,0.19,2.08,4.53,9.5,175.5,98.12,123.7,0.0
2010-10-01,1146.239990234375,22.5,219.035,8749.4,0.19,2.12,4.68,9.4,177.3,98.37,124.7,1.0
2010-11-01,1184.3800048828125,21.83,219.59,8770.0,0.19,2.32,4.87,9.8,178.2,98.43,126.6,1.0
2010-12-01,1206.0699462890625,21.36,220.472,8801.8,0.18,2.44,5.02,9.3,179.1,98.81,127.5,1.0
2011-01-03,1271.8699951171875,17.61,221.187,8823.1,0.17,2.75,5.04,9.1,181.1,98.99,129.1,1.0
2011-02-01,1307.5899658203125,17.63,221.898,8886.9,0.16,2.87,5.22,9.0,183.3,99.24,130.8,1.0
2011-03-01,1306.3299560546875,21.01,223.046,8943.5,0.14,2.75,5.13,9.0,187.3,99.46,132.7,0.0
2011-04-01,1332.4100341796875,17.4,224.093,9004.9,0.1,2.66,5.16,9.1,190.2,99.72,133.8,1.0
2011-05-02,1361.219970703125,15.99,224.806,9075.5,0.09,2.7,4.96,9.0,191.9,99.95,134.3,1.0
2011-06-01,1314.550048828125,18.3,224.806,9151.0,0.09,2.52,4.99,9.1,191.1,100.17,134.5,0.0
2011-07-01,1339.6700439453125,15.87,225.395,9316.6,0.07,2.72,4.93,9.0,191.7,100.38,134.0,1.0
2011-08-01,1286.93994140625,23.66,226.106,9507.6,0.1,2.39,4.37,9.0,190.7,100.58,134.6,0.0
2011-09-01,1204.4200439453125,31.82,226.597,9528.3,0.08,1.96,4.09,9.0,191.5,100.82,135.3,0.0
2011-10-03,1099.22998046875,45.45,226.75,9562.1,0.07,1.56,3.98,8.8,190.2,101.14,132.6,0.0
2011-11-01,1218.280029296875,34.77,227.169,9612.6,0.08,1.78,3.87,8.6,190.6,101.43,132.7,1.0
2011-12-01,1244.5799560546875,27.41,227.223,9660.1,0.07,1.84,3.93,8.5,189.6,101.65,132.1,1.0
2012-01-02,1257.5999755859375,23.4,227.223,9660.1,0.07,1.64,3.93,8.5,189.6,101.65,132.1,1.0
2012-02-01,1324.0899658203125,18.55,228.329,9785.7,0.1,1.64,3.85,8.3,192.1,102.27,133.1,1.0
2012-03-01,1374.0899658203125,17.26,228.807,9830.6,0.13,1.73,3.99,8.2,194.3,102.63,134.1,1.0
2012-04-02,1419.0400390625,15.64,229.187,9884.6,0.14,1.89,3.96,8.2,194.7,102.85,134.7,1.0
2012-05-01,1405.8199462890625,16.6,228.713,9928.4,0.16,1.71,3.8,8.2,193.6,103.09,134.0,0.0
2012-06-01,1278.0400390625,26.66,228.524,9999.3,0.16,1.22,3.64,8.2,191.7,103.29,131.7,0.0
2012-07-02,1365.510009765625,16.74,228.59,10051.8,0.16,1.31,3.4,8.2,191.2,103.53,132.2,1.0
2012-08-01,1375.3199462890625,18.96,229.918,10121.3,0.13,1.32,3.48,8.1,193.5,103.81,133.4,1.0
2012-09-03,1406.5799560546875,17.47,229.918,10121.3,0.13,1.35,3.48,8.1,193.5,103.81,133.4,1.0
2012-10-01,1444.489990234375,16.32,231.638,10267.3,0.16,1.39,3.47,7.8,195.1,104.33,134.6,1.0
2012-11-01,1427.5899658203125,16.69,231.249,10337.6,0.16,1.45,3.5,7.7,192.6,104.58,133.8,0.0
2012-12-03,1409.4599609375,16.64,231.221,10459.7,0.16,1.38,3.65,7.9,191.8,104.77,133.6,0.0
2013-01-01,1426.18994140625,18.02,231.221,10459.7,0.16,1.53,3.65,7.9,191.8,104.77,133.6,1.0
2013-02-01,1513.1700439453125,12.9,232.937,10482.0,0.15,1.77,3.9,7.7,195.2,105.43,135.1,1.0
2013-03-01,1518.199951171875,15.36,232.282,10550.0,0.14,1.61,3.93,7.5,194.5,105.72,134.4,1.0
2013-04-01,1562.1700439453125,13.58,231.797,10585.9,0.15,1.63,3.73,7.6,194.0,105.9,133.6,1.0
2013-05-01,1582.699951171875,14.49,231.893,10628.2,0.11,1.46,3.89,7.5,194.0,106.21,132.9,1.0
2013-06-03,1640.4200439453125,16.28,232.445,10684.9,0.09,1.83,4.27,7.5,193.9,106.46,132.8,1.0
2013-07-01,1614.9599609375,16.37,232.9,10730.8,0.09,2.16,4.34,7.3,194.0,106.77,132.6,0.0
2013-08-01,1706.8699951171875,12.94,233.456,10790.2,0.08,2.39,4.54,7.2,194.6,107.07,131.9,1.0
2013-09-02,1632.969970703125,17.01,233.456,10790.2,0.08,2.39,4.54,7.2,194.6,107.07,131.9,0.0
2013-10-01,1695.0,15.54,233.669,10956.7,0.09,2.33,4.53,7.2,193.7,107.55,131.6,1.0
2013-11-01,1761.6400146484375,13.28,234.1,10969.0,0.08,2.32,4.63,6.9,192.7,107.95,131.8,1.0
2013-12-02,1800.9000244140625,14.23,234.719,11028.8,0.09,2.51,4.62,6.7,193.2,108.21,132.3,1.0
2014-01-01,1848.3599853515625,13.72,234.719,11028.8,0.09,2.66,4.62,6.7,193.2,108.21,132.3,1.0
2014-02-03,1741.8900146484375,21.44,235.547,11161.0,0.07,2.31,4.45,6.7,195.2,108.65,133.7,0.0
2014-03-03,1845.72998046875,16.0,236.028,11200.2,0.08,2.28,4.38,6.7,196.2,108.96,134.9,1.0
2014-04-01,1885.52001953125,13.1,236.468,11256.9,0.09,2.33,4.24,6.2,197.5,109.49,133.5,1.0
2014-05-01,1883.6800537109375,13.25,236.918,11326.3,0.09,2.22,4.16,6.3,197.2,109.68,133.7,0.0
2014-06-02,1924.969970703125,11.58,237.231,11380.7,0.1,2.15,4.25,6.1,197.2,110.1,133.0,1.0
2014-07-01,1973.3199462890625,11.15,237.498,11439.9,0.09,2.11,4.16,6.2,197.4,110.35,133.1,1.0
2014-08-01,1925.1500244140625,17.03,237.46,11469.4,0.09,2.05,4.08,6.1,197.4,110.68,132.4,0.0
2014-09-01,2003.3699951171875,11.98,237.46,11469.4,0.09,1.87,4.08,6.1,197.4,110.68,132.4,1.0
2014-10-01,1946.1600341796875,16.71,237.43,11563.4,0.09,1.89,3.92,5.7,194.8,111.47,130.7,0.0
2014-11-03,2017.81005859375,14.73,236.983,11604.7,0.09,1.84,3.92,5.8,192.7,111.72,129.5,1.0
2014-12-01,2053.43994140625,14.29,236.252,11681.5,0.12,1.73,3.79,5.6,189.1,112.16,128.3,1.0
2015-01-01,2058.89990234375,19.2,236.252,11681.5,0.12,1.5,3.79,5.6,189.1,112.16,128.3,1.0
2015-02-02,2020.8499755859375,19.43,235.342,11863.9,0.11,1.19,3.61,5.5,185.4,112.83,125.9,0.0
2015-03-02,2117.389892578125,13.04,235.976,11879.6,0.11,1.42,3.64,5.4,186.2,113.1,125.9,1.0
2015-04-01,2059.68994140625,15.11,236.222,11927.4,0.12,1.32,3.52,5.4,185.7,113.43,125.1,0.0
2015-05-01,2108.2900390625,12.7,237.001,11960.3,0.12,1.52,3.98,5.6,188.2,113.69,125.7,1.0
2015-06-01,2111.72998046875,13.97,237.657,12005.8,0.13,1.55,4.19,5.3,188.9,114.1,125.3,1.0
2015-07-01,2077.419921875,16.09,238.034,12058.4,0.13,1.74,4.15,5.2,188.5,114.45,124.8,0.0
2015-08-03,2098.0400390625,12.56,238.033,12109.5,0.14,1.48,4.04,5.1,187.0,114.7,123.0,1.0
2015-09-01,1913.8499755859375,31.4,237.498,12164.5,0.14,1.47,4.07,5.0,184.3,115.02,122.3,0.0
2015-10-01,1923.8199462890625,22.55,237.733,12196.8,0.12,1.41,3.95,5.0,183.7,115.32,122.0,1.0
2015-11-02,2104.050048828125,14.15,238.017,12286.0,0.12,1.43,4.06,5.1,182.9,115.56,121.1,1.0
2015-12-01,2102.6298828125,14.67,237.761,12344.0,0.24,1.24,3.97,5.0,180.8,115.93,119.8,0.0
2016-01-01,2043.93994140625,18.21,237.761,12344.0,0.24,1.21,3.97,5.0,180.8,115.93,119.8,0.0
2016-02-01,1939.3800048828125,19.98,237.336,12545.6,0.38,1.16,3.96,4.9,178.7,116.48,118.2,0.0
2016-03-01,1978.3499755859375,17.7,238.08,12609.7,0.36,0.98,3.82,5.0,179.3,116.74,118.1,1.0
2016-04-01,2072.780029296875,13.1,238.992,12698.4,0.37,1.03,3.62,5.1,180.5,116.98,118.7,1.0
2016-05-02,2081.429931640625,14.68,239.557,12765.6,0.37,1.08,3.65,4.8,181.9,117.32,120.0,1.0
2016-06-01,2099.330078125,14.2,240.222,12831.9,0.38,0.94,3.5,4.9,183.6,117.55,120.9,1.0
2016-07-01,2102.949951171875,14.77,240.101,12892.0,0.39,0.87,3.28,4.8,183.4,117.91,121.1,1.0
2016-08-01,2170.840087890625,12.44,240.545,12978.2,0.4,0.84,3.32,4.9,182.5,118.13,120.1,1.0
2016-09-01,2170.860107421875,13.48,241.176,13037.9,0.4,0.79,3.41,5.0,183.0,118.4,120.5,1.0
2016-10-03,2161.199951171875,13.57,241.741,13105.4,0.4,0.83,3.51,4.9,183.7,118.7,120.7,0.0
2016-11-01,2111.719970703125,18.56,242.026,13176.5,0.41,1.0,3.86,4.7,183.2,119.06,120.8,0.0
2016-12-01,2191.080078125,14.07,242.637,13209.6,0.54,1.31,4.06,4.7,183.9,119.33,121.3,1.0
2017-01-02,2238.830078125,14.04,242.637,13209.6,0.54,1.25,4.06,4.7,183.9,119.33,121.3,1.0
2017-02-01,2279.550048828125,11.81,244.006,13351.4,0.66,1.26,3.95,4.6,186.2,119.9,122.0,1.0
2017-03-01,2395.9599609375,12.54,243.892,13420.6,0.79,1.17,4.01,4.4,186.7,120.25,122.1,1.0
2017-04-03,2358.840087890625,12.38,244.193,13482.9,0.9,1.11,3.87,4.4,187.6,120.51,122.4,0.0
2017-05-01,2388.330078125,10.11,244.004,13534.8,0.91,1.05,3.85,4.4,187.3,120.79,121.7,1.0
2017-06-01,2430.06005859375,9.89,244.163,13558.9,1.04,0.93,3.68,4.3,187.6,121.14,121.6,1.0
2017-07-03,2429.010009765625,11.22,244.243,13621.0,1.15,0.94,3.7,4.3,187.3,121.43,122.2,0.0
2017-08-01,2476.35009765625,10.09,245.183,13679.6,1.16,0.92,3.63,4.4,188.4,121.64,122.9,1.0
2017-09-01,2476.550048828125,10.13,246.435,13722.1,1.15,0.81,3.63,4.3,189.6,121.96,123.9,1.0
2017-10-02,2529.1201171875,9.45,246.626,13777.4,1.15,0.85,3.6,4.2,190.2,122.24,124.0,1.0
2017-11-01,2579.360107421875,10.2,247.284,13804.1,1.16,0.76,3.57,4.2,191.2,122.52,124.6,1.0
2017-12-01,2642.219970703125,11.43,247.805,13852.3,1.3,0.59,3.51,4.1,191.3,122.86,124.7,1.0
2018-01-01,2673.610107421875,11.04,247.805,13852.3,1.3,0.51,3.51,4.1,191.3,122.86,124.7,1.0
2018-02-01,2821.97998046875,13.47,249.439,13910.2,1.42,0.62,3.82,4.1,193.5,123.43,125.8,1.0
2018-03-01,2677.669921875,22.47,249.581,13965.5,1.51,0.59,3.87,4.0,194.0,123.81,126.3,0.0
2018-04-02,2581.8798828125,23.62,250.146,13987.7,1.69,0.48,3.85,4.0,195.3,124.06,126.9,0.0
2018-05-01,2654.800048828125,15.49,250.779,14041.2,1.7,0.47,4.0,3.8,197.7,124.57,127.8,1.0
2018-06-01,2734.6201171875,13.46,251.118,14102.6,1.82,0.42,3.96,4.0,198.4,124.72,128.0,1.0
2018-07-02,2726.7099609375,15.6,251.323,14137.0,1.91,0.3,3.87,3.8,198.5,125.06,127.4,0.0
2018-08-01,2813.360107421875,13.15,251.749,14187.4,1.91,0.33,3.88,3.8,198.6,125.36,127.3,1.0
2018-09-03,2901.52001953125,12.86,251.749,14187.4,1.91,0.24,3.88,3.8,198.6,125.36,127.3,1.0
2018-10-01,2924.590087890625,12.0,252.862,14228.5,2.19,0.27,4.14,3.8,200.4,125.86,127.9,1.0
2018-11-01,2740.3701171875,19.34,252.657,14241.6,2.2,0.3,4.22,3.8,198.4,126.09,126.9,0.0
2018-12-03,2790.3701171875,16.44,252.551,14358.8,2.27,0.15,4.02,3.9,195.2,126.32,126.1,1.0
2019-01-01,2506.85009765625,25.42,252.551,14358.8,2.27,0.21,4.02,3.9,195.2,126.32,126.1,0.0
2019-02-01,2706.530029296875,16.14,253.135,14472.3,2.4,0.18,3.79,3.8,195.4,126.94,126.1,1.0
2019-03-01,2803.68994140625,13.57,254.273,14510.7,2.41,0.21,3.77,3.8,197.4,127.23,127.0,1.0
2019-04-01,2867.18994140625,13.4,255.163,14541.0,2.42,0.16,3.69,3.6,199.2,127.66,127.1,1.0
2019-05-01,2923.72998046875,14.8,255.325,14632.5,2.39,0.21,3.67,3.6,199.1,127.91,126.7,1.0
2019-06-03,2744.449951171875,18.86,255.361,14754.8,2.38,0.25,3.42,3.6,197.0,128.11,126.0,0.0
2019-07-01,2964.330078125,14.06,255.9,14833.8,2.4,0.25,3.29,3.7,197.5,128.34,126.2,1.0
2019-08-01,2953.56005859375,17.87,256.179,14919.8,2.13,0.17,2.98,3.7,196.4,128.57,125.5,0.0
2019-09-02,2926.4599609375,18.98,256.179,14919.8,2.13,0.0,2.98,3.7,196.4,128.57,125.5,0.0
2019-10-01,2940.25,18.56,257.305,15144.2,1.83,0.09,3.01,3.6,196.6,129.11,125.1,1.0
2019-11-01,3066.909912109375,12.3,257.788,15249.9,1.55,0.17,3.06,3.6,196.5,129.4,125.2,1.0
2019-12-02,3113.8701171875,14.91,258.263,15319.1,1.55,0.22,3.01,3.6,196.4,129.69,125.0,1.0
2020-01-01,3230.780029296875,13.78,258.263,15319.1,1.55,0.34,3.01,3.6,196.4,129.69,125.0,1.0
2020-02-03,3248.919921875,17.97,259.007,15458.7,1.58,0.18,2.78,3.5,195.1,130.52,124.3,1.0
2020-03-02,3090.22998046875,33.42,258.165,15988.6,0.65,0.26,3.02,4.4,192.3,129.61,122.5,0.0
2020-04-01,2470.5,57.06,256.094,17002.5,0.05,0.39,2.43,14.7,186.1,115.55,118.2,0.0
2020-05-01,2830.7099609375,37.19,255.944,17835.2,0.05,0.44,2.5,13.2,188.9,117.55,118.2,1.0
2020-06-01,3055.72998046875,28.23,257.217,18129.3,0.08,0.52,2.44,11.0,190.2,119.46,120.3,1.0
2020-07-01,3115.860107421875,28.62,258.543,18277.8,0.09,0.52,2.14,10.2,192.3,119.79,121.5,1.0
2020-08-03,3294.610107421875,24.28,259.58,18357.4,0.1,0.45,2.25,8.4,193.0,121.22,122.1,1.0
2020-09-01,3526.64990234375,26.12,260.19,18575.2,0.09,0.55,2.31,7.9,192.9,121.97,122.8,1.0
2020-10-01,3380.800048828125,26.7,260.352,18735.7,0.09,0.54,2.35,6.9,193.7,122.93,123.0,0.0
2020-11-02,3310.239990234375,37.13,260.721,18969.8,0.09,0.71,2.3,6.7,194.5,123.41,124.0,0.0
2020-12-01,3662.449951171875,20.77,261.564,19124.7,0.09,0.75,2.26,6.7,196.7,123.66,125.5,1.0
